1.541236618151314020e-01 2.122479738267430416e-01 2.698200563846868127e-01 3.166367693790532178e-01 3.430085174187066377e-01 3.430085174187066377e-01 3.166367693790531623e-01 2.698200563846868127e-01 2.122479738267430138e-01 1.541236618151314020e-01
2.122479738267430416e-01 2.922925776808594223e-01 3.715766910220457131e-01 4.360492863215356674e-01 4.723665527410146892e-01 4.723665527410146892e-01 4.360492863215356119e-01 3.715766910220457131e-01 2.922925776808594223e-01 2.122479738267430416e-01
2.698200563846868127e-01 3.715766910220457131e-01 4.723665527410148002e-01 5.543272847345070975e-01 6.004955788122660065e-01 6.004955788122660065e-01 5.543272847345069865e-01 4.723665527410146892e-01 3.715766910220457131e-01 2.698200563846868127e-01
3.166367693790532178e-01 4.360492863215356674e-01 5.543272847345070975e-01 6.505090947233166387e-01 7.046880897187134396e-01 7.046880897187134396e-01 6.505090947233165277e-01 5.543272847345069865e-01 4.360492863215356119e-01 3.166367693790532178e-01
3.430085174187066377e-01 4.723665527410146892e-01 6.004955788122660065e-01 7.046880897187134396e-01 7.633794943368532593e-01 7.633794943368531483e-01 7.046880897187134396e-01 6.004955788122658955e-01 4.723665527410146336e-01 3.430085174187066377e-01
3.430085174187066377e-01 4.723665527410146892e-01 6.004955788122660065e-01 7.046880897187134396e-01 7.633794943368531483e-01 7.633794943368531483e-01 7.046880897187134396e-01 6.004955788122658955e-01 4.723665527410146336e-01 3.430085174187066377e-01
3.166367693790531623e-01 4.360492863215356119e-01 5.543272847345069865e-01 6.505090947233165277e-01 7.046880897187134396e-01 7.046880897187134396e-01 6.505090947233164167e-01 5.543272847345068755e-01 4.360492863215355008e-01 3.166367693790531623e-01
2.698200563846868127e-01 3.715766910220457131e-01 4.723665527410146892e-01 5.543272847345069865e-01 6.004955788122658955e-01 6.004955788122658955e-01 5.543272847345068755e-01 4.723665527410146336e-01 3.715766910220456021e-01 2.698200563846868127e-01
2.122479738267430138e-01 2.922925776808594223e-01 3.715766910220457131e-01 4.360492863215356119e-01 4.723665527410146336e-01 4.723665527410146336e-01 4.360492863215355008e-01 3.715766910220456021e-01 2.922925776808593668e-01 2.122479738267430138e-01
1.541236618151314020e-01 2.122479738267430416e-01 2.698200563846868127e-01 3.166367693790532178e-01 3.430085174187066377e-01 3.430085174187066377e-01 3.166367693790531623e-01 2.698200563846868127e-01 2.122479738267430138e-01 1.541236618151314020e-01
