9.999999999999997780e-02 -9.999999999999997780e-02 -3.000000000000000444e-01 -5.000000000000001110e-01 -7.000000000000000666e-01 -9.000000000000000222e-01 -1.100000000000000089e+00 -1.300000000000000266e+00 -1.500000000000000000e+00 -1.700000000000000178e+00 -1.899999999999999911e+00
3.000000000000000444e-01 1.000000000000000888e-01 -9.999999999999997780e-02 -3.000000000000000444e-01 -5.000000000000000000e-01 -6.999999999999999556e-01 -9.000000000000001332e-01 -1.100000000000000089e+00 -1.300000000000000044e+00 -1.500000000000000000e+00 -1.699999999999999956e+00
5.000000000000000000e-01 3.000000000000000999e-01 1.000000000000000333e-01 -1.000000000000000333e-01 -2.999999999999999889e-01 -4.999999999999999445e-01 -7.000000000000001776e-01 -9.000000000000001332e-01 -1.100000000000000089e+00 -1.300000000000000044e+00 -1.500000000000000000e+00
7.000000000000000666e-01 5.000000000000001110e-01 3.000000000000000444e-01 9.999999999999997780e-02 -9.999999999999997780e-02 -2.999999999999999334e-01 -5.000000000000001110e-01 -7.000000000000000666e-01 -9.000000000000000222e-01 -1.100000000000000089e+00 -1.299999999999999822e+00
9.000000000000000222e-01 7.000000000000000666e-01 5.000000000000000000e-01 2.999999999999999334e-01 9.999999999999997780e-02 -9.999999999999997780e-02 -3.000000000000001554e-01 -5.000000000000001110e-01 -7.000000000000000666e-01 -9.000000000000000222e-01 -1.100000000000000089e+00
1.100000000000000089e+00 9.000000000000001332e-01 7.000000000000000666e-01 5.000000000000000000e-01 3.000000000000000444e-01 1.000000000000000888e-01 -1.000000000000000888e-01 -3.000000000000000444e-01 -5.000000000000000000e-01 -6.999999999999999556e-01 -8.999999999999999112e-01
1.300000000000000266e+00 1.100000000000000089e+00 9.000000000000001332e-01 7.000000000000000666e-01 5.000000000000001110e-01 3.000000000000001554e-01 9.999999999999997780e-02 -9.999999999999997780e-02 -2.999999999999999334e-01 -4.999999999999998890e-01 -6.999999999999998446e-01
1.500000000000000000e+00 1.300000000000000266e+00 1.100000000000000089e+00 9.000000000000000222e-01 7.000000000000000666e-01 5.000000000000001110e-01 2.999999999999999334e-01 9.999999999999997780e-02 -9.999999999999997780e-02 -2.999999999999999334e-01 -4.999999999999998890e-01
1.700000000000000178e+00 1.500000000000000000e+00 1.300000000000000044e+00 1.100000000000000089e+00 9.000000000000000222e-01 7.000000000000000666e-01 4.999999999999998890e-01 2.999999999999999334e-01 9.999999999999997780e-02 -9.999999999999997780e-02 -2.999999999999999334e-01
1.899999999999999911e+00 1.700000000000000178e+00 1.500000000000000000e+00 1.299999999999999822e+00 1.100000000000000089e+00 9.000000000000000222e-01 6.999999999999998446e-01 4.999999999999998890e-01 2.999999999999999334e-01 9.999999999999997780e-02 -9.999999999999997780e-02
